INDIVIDUALS	STRATA
C11i1	cluster2
C11i3	cluster2
C11i4	cluster2
C11i7	cluster2
C11i9	cluster2
C12i10	cluster2
C12i1	cluster2
C12i2	cluster2
C12i3	cluster2
C12i4	cluster2
C12i5	cluster2
C12i6	cluster2
C12i7	cluster2
C12i8	cluster2
C12i9	cluster2
C13i10	cluster2
C13i1	cluster2
C13i2	cluster2
C13i3	cluster2
C13i4	cluster2
C13i5	cluster2
C13i6	cluster2
C13i7	cluster2
C13i8	cluster2
C13i9	cluster2
C14i3	cluster2
C15i10	cluster2
C15i1	cluster2
C15i4	cluster2
C15i6	cluster2
C15i7	cluster2
C15i8	cluster2
C15i9	cluster2
C18i1	cluster2
C18i2	cluster2
C19i10	cluster2
C19i1	cluster2
C19i3	cluster2
C19i4	cluster2
C19i5	cluster2
C19i8	cluster2
C20i1	cluster1
C20i2	cluster1
C20i6	cluster1
C20i7	cluster1
C25i10	cluster2
C25i1	cluster2
C25i2	cluster2
C25i5	cluster2
C25i6	cluster2
C25i7	cluster2
C25i8	cluster2
C25i9	cluster2
C29i10	cluster2
C29i1	cluster2
C29i2	cluster2
C29i3	cluster2
C29i4	cluster2
C29i6	cluster2
C29i7	cluster2
C29i8	cluster2
C29i9	cluster2
C30i3	cluster2
C30i4	cluster2
C30i5	cluster2
C31i1	cluster2
C31i3	cluster2
C31i4	cluster2
C31i5	cluster2
C32i10	cluster2
C32i1	cluster2
C32i2	cluster2
C32i3	cluster2
C32i4	cluster2
C32i6	cluster2
C32i7	cluster2
C32i8	cluster2
C33i8	cluster2
C34i10	cluster2
C34i6	cluster2
C34i8	cluster2
C34i9	cluster2
C36i6	cluster2
C36i9	cluster1
C37i1	cluster2
C37i3	cluster2
C37i5	cluster2
C37i6	cluster2
C37i7	cluster2
C37i8	cluster2
C37i9	cluster2
C38i3	cluster2
C38i4	cluster2
C39i1	cluster2
C39i3	cluster2
C39i4	cluster2
C39i6	cluster2
C39i7	cluster2
C3i3	cluster2
C3i6	cluster2
C3i7	cluster2
C3i8	cluster2
C42i6	cluster2
C43i1	cluster2
C43i2	cluster2
C43i4	cluster2
C43i6	cluster2
C43i7	cluster2
C43i8	cluster2
C43i9	cluster2
C45i1	cluster2
C45i2	cluster2
C45i4	cluster2
C45i5	cluster2
C45i6	cluster2
C45i8	cluster2
C45i9	cluster2
C46i1	cluster2
C46i2	cluster2
C46i5	cluster2
C46i6	cluster2
C46i7	cluster2
C46i8	cluster2
C48i1	cluster2
C48i2	cluster2
C48i3	cluster2
C48i7	cluster2
C48i9	cluster2
C49i1	cluster2
C49i2	cluster2
C51i10	cluster2
C51i4	cluster2
C51i5	cluster2
C51i6	cluster2
C51i7	cluster2
C51i8	cluster2
C51i9	cluster2
C52i1	cluster2
C52i2	cluster2
C52i3	cluster2
C52i4	cluster2
C52i5	cluster2
C52i7	cluster2
C53i1	cluster2
C55i2	cluster2
C55i3	cluster2
C55i6	cluster2
C55i7	cluster2
C56i10	cluster2
C56i1	cluster2
C56i2	cluster2
C56i3	cluster2
C5i10	cluster2
C5i2	cluster1
C5i3	cluster2
C5i4	cluster2
C5i5	cluster2
C5i7	cluster2
C65i5	cluster1
C65i6	cluster1
C65i7	cluster2
C65i8	cluster1
C65i9	cluster1
C67i1	cluster1
C67i2	cluster1
C67i3	cluster1
C67i4	cluster1
C67i5	cluster1
C67i6	cluster2
C67i7	cluster1
C67i8	cluster1
C67i9	cluster1
C68i4	cluster2
C68i8	cluster2
C68i9	cluster2
C69i1	cluster2
C69i2	cluster2
C69i3	cluster2
C69i4	cluster2
C69i7	cluster2
C69i8	cluster2
C69i9	cluster2
C6i10	cluster2
C6i1	cluster2
C6i2	cluster2
C6i3	cluster2
C6i4	cluster2
C6i5	cluster2
C6i6	cluster2
C6i7	cluster2
C6i9	cluster2
C72i3	cluster2
C72i8	cluster2
C73i3	cluster1
C73i4	cluster2
C73i6	cluster2
C73i8	cluster2
C74i10	cluster2
C74i2	cluster2
C74i3	cluster2
C74i4	cluster2
C74i5	cluster2
C74i7	cluster2
C74i9	cluster2
C76i4	cluster2
C78i1	cluster2
C78i2	cluster2
C78i4	cluster2
C78i6	cluster2
C78i7	cluster2
C78i8	cluster2
C78i9	cluster2
C7i9	cluster2
C82i10	cluster2
C82i1	cluster2
C82i2	cluster2
C82i3	cluster2
C82i4	cluster2
C82i5	cluster2
C82i6	cluster2
C82i7	cluster2
C82i8	cluster2
C82i9	cluster2
C83i10	cluster2
C83i1	cluster2
C83i2	cluster2
C83i3	cluster2
C83i4	cluster2
C83i5	cluster2
C83i6	cluster2
C83i7	cluster2
C83i8	cluster2
C83i9	cluster2
C84i10	cluster2
C84i3	cluster2
C84i4	cluster2
C84i5	cluster2
C84i6	cluster2
C84i7	cluster2
C84i9	cluster2
C85i10	cluster2
C85i1	cluster2
C85i2	cluster2
C85i3	cluster2
C85i5	cluster2
C85i6	cluster2
C85i7	cluster2
C85i8	cluster2
C85i9	cluster2
C86i10	cluster2
C86i2	cluster2
C86i5	cluster2
C86i6	cluster2
C86i7	cluster2
C86i8	cluster2
C86i9	cluster2
C87i1	cluster2
C88i2	cluster2
C89i10	cluster2
C89i1	cluster2
C89i3	cluster2
C89i5	cluster1
C89i7	cluster2
C8i10	cluster2
C8i1	cluster2
C8i3	cluster2
C8i4	cluster2
C8i6	cluster2
C8i7	cluster2
C8i8	cluster2
C8i9	cluster2
C92i2	cluster1
C93i2	cluster2
C93i4	cluster2
C93i5	cluster2
C93i6	cluster2
C93i7	cluster2
C94i10	cluster2
C94i2	cluster2
C94i3	cluster2
C94i4	cluster2
C94i5	cluster2
C94i6	cluster2
C95i1	cluster2
C95i2	cluster2
C95i4	cluster2
C95i5	cluster2
C97i1	cluster1
C97i2	cluster1
C97i3	cluster1
C97i4	cluster1
C97i5	cluster1
C97i6	cluster1
C99i2	cluster2
C99i3	cluster2
C99i4	cluster2
C9i9	cluster2
