INDIVIDUALS	STRATA
C100i10	cluster1
C100i1	cluster1
C100i2	cluster1
C100i3	cluster1
C100i4	cluster1
C100i5	cluster1
C100i6	cluster1
C100i7	cluster1
C100i8	cluster1
C100i9	cluster1
C10i3	cluster1
C10i4	cluster1
C10i7	cluster1
C10i9	cluster1
C11i10	cluster1
C11i3	cluster1
C11i4	cluster1
C11i5	cluster1
C11i6	cluster1
C11i7	cluster1
C11i8	cluster1
C11i9	cluster1
C12i10	cluster1
C12i1	cluster1
C12i2	cluster1
C12i4	cluster1
C13i10	cluster1
C13i3	cluster1
C13i4	cluster1
C13i6	cluster1
C13i7	cluster1
C13i8	cluster1
C14i1	cluster1
C14i2	cluster1
C14i3	cluster1
C14i4	cluster1
C14i5	cluster1
C14i6	cluster1
C14i7	cluster1
C14i8	cluster1
C15i2	cluster1
C15i3	cluster1
C15i4	cluster1
C15i5	cluster1
C15i8	cluster1
C16i10	cluster1
C16i3	cluster1
C16i4	cluster1
C16i5	cluster1
C16i6	cluster1
C16i7	cluster1
C16i8	cluster1
C16i9	cluster1
C18i10	cluster1
C18i2	cluster1
C18i3	cluster1
C18i4	cluster1
C18i5	cluster1
C18i7	cluster1
C18i8	cluster1
C19i10	cluster1
C19i2	cluster1
C19i3	cluster1
C19i4	cluster1
C19i6	cluster1
C19i8	cluster1
C19i9	cluster1
C20i1	cluster1
C20i2	cluster2
C20i3	cluster2
C20i4	cluster2
C20i5	cluster2
C20i6	cluster2
C20i7	cluster1
C20i8	cluster2
C20i9	cluster1
C24i10	cluster1
C24i2	cluster1
C24i4	cluster1
C24i5	cluster1
C24i6	cluster1
C24i7	cluster1
C24i8	cluster1
C24i9	cluster1
C25i1	cluster1
C25i2	cluster1
C25i3	cluster1
C25i4	cluster1
C27i10	cluster1
C27i2	cluster1
C27i3	cluster1
C27i4	cluster1
C27i5	cluster1
C27i6	cluster1
C27i9	cluster1
C29i10	cluster1
C29i1	cluster1
C29i2	cluster1
C29i5	cluster1
C29i7	cluster1
C29i8	cluster1
C29i9	cluster1
C30i10	cluster1
C30i2	cluster1
C30i3	cluster1
C30i5	cluster1
C30i6	cluster1
C30i8	cluster1
C30i9	cluster1
C3i10	cluster1
C3i1	cluster1
C32i9	cluster1
C33i1	cluster1
C33i2	cluster1
C33i4	cluster1
C33i5	cluster1
C33i6	cluster1
C33i7	cluster1
C33i8	cluster1
C33i9	cluster1
C3i3	cluster1
C34i1	cluster1
C34i4	cluster1
C34i5	cluster1
C34i6	cluster1
C34i7	cluster1
C34i8	cluster1
C34i9	cluster1
